index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
32;1;4.62221;2.09753;15.0737;7.186404962;4.753325115;1.028366326;-0.628278556;0.859151405;0.611528957;0.387060951;0.229887073;0.180162424;0.109548463;3.948555904;0.688080016;3.53323946;1.867146429;1.867146429;0.83829164;2.045125274;0.509996795;2.316054318;;;;;;;;;;
33;1;4.59389;2.08584;14.7498;7.071395697;4.588508578;0.99882857;-1.565875725;0.817164655;0.525041938;0.390642136;0.239870155;0.191381409;0.115743956;3.782646701;0.707600436;3.375054305;1.808444807;1.808444807;0.852419192;1.575765216;0.322218778;1.919863085;;;;;;;;;;
34;1;4.56143;2.10085;14.8139;7.051383964;4.753065313;1.042012113;-1.740172615;0.855885122;0.575171068;0.401309239;0.246659894;0.201216485;0.122398897;3.860330493;0.774517459;3.2786998;1.883084267;1.883084267;0.873640503;1.49290869;0.30290896;1.743302156;;;;;;;;;;
35;1;4.55964;2.18016;15.0365;6.896970865;4.757621518;1.043420428;-2.385805454;0.864780845;0.574093841;0.410041363;0.252297085;0.205491652;0.128658403;3.843001805;0.780021238;3.187054664;1.907566775;1.907566775;0.895607987;1.559061194;0.314450281;1.809292304;;;;;;;;;;
36;1;4.52562;2.17987;15.8314;7.262543179;4.990466188;1.102714366;-1.157221429;0.9611527;0.644656129;0.424262753;0.25049159;0.211191135;0.131756533;4.476546698;1.26611258;3.220050983;2.071906049;2.071906049;0.918479678;1.825241678;0.477109568;1.874780305;;;;;;;;;;
37;1;4.51067;2.21837;15.8828;7.15967129;4.993476701;1.107036582;-1.088168893;0.979898757;0.654123798;0.43204136;0.255714401;0.215160834;0.136993174;4.487692844;1.296753571;3.153743703;2.113128674;2.113128674;0.934936495;1.657896724;0.434824165;1.705203332;;;;;;;;;;
38;1;4.49446;2.26975;16.9874;7.484260381;4.766361985;1.060497142;-0.809050812;1.04702327;0.653636184;0.440611998;0.252882799;0.213795763;0.138038608;5.183817557;2.036911967;3.19194757;2.237333475;2.237333475;0.93257032;1.721008898;0.509606723;1.701219679;;;;;;;;;;
39;1;4.49399;2.3535;17.1592;7.290928405;4.719767199;1.050239809;-0.939821365;1.06213932;0.672723109;0.442539703;0.257120107;0.213900603;0.141405299;5.082490296;1.961937845;3.129583586;2.269132287;2.269132287;0.950956722;1.804714039;0.512990853;1.797159286;;;;;;;;;;
40;1;4.47833;2.37509;17.1039;7.201369211;4.714949541;1.052836558;-0.834576744;1.072728112;0.688372995;0.445614325;0.264154071;0.218875742;0.145831147;4.954860543;1.908448987;3.055686899;2.296440474;2.296440474;0.96202379;1.763013192;0.496995399;1.743872114;;;;;;;;;;
41;1;4.46159;2.63931;18.3912;6.968184866;4.420825102;0.990863146;-0.672559995;1.121705804;0.67781162;0.450136162;0.269921079;0.22358686;0.150208782;5.253926692;1.883472249;2.996736649;2.394973418;2.394973418;0.987905657;1.832691969;0.541336212;1.763307817;;;;;;;;;;
42;0;4.4293;2.54383;17.8211;7.005617514;4.503808841;1.016821809;-0.583265639;1.120749286;0.68912176;0.454332061;0.27740957;0.230653373;0.155441266;5.101951748;1.927031862;2.922853582;2.396021622;2.396021622;0.997760368;1.86169818;0.582528887;1.719185006;;;;;;;;;;
43;1;4.41149;2.60555;17.6908;6.789660532;4.584679804;1.0392588;-0.511022612;1.11909414;0.723499345;0.457501887;0.283895816;0.234262678;0.16205001;4.837758558;1.883681724;2.823214181;2.398107453;2.398107453;1.005159255;1.826842192;0.575896765;1.636513439;;;;;;;;;;
44;1;4.39437;2.74675;17.9036;6.518103213;4.479343501;1.019336902;-0.255094973;1.128611269;0.734171927;0.456260397;0.29338316;0.239303845;0.168174733;4.642668348;1.71394487;2.713013956;2.428189855;2.428189855;1.013155469;1.755298367;0.52211185;1.605419054;;;;;;;;;;
45;1;4.41199;2.71504;17.8264;6.565796452;4.433288132;1.00482733;-0.130078728;1.118188896;0.726225903;0.454340785;0.284597315;0.225967524;0.166872998;4.674803905;1.742143659;2.722674066;2.401348831;2.401348831;1.010149615;1.905912303;0.591578514;1.645160151;;;;;;;;;;
46;1;4.46002;2.76523;18.0072;6.512008043;4.302336945;0.964645214;0.225118783;1.093347605;0.689200663;0.447829382;0.274694924;0.20679765;0.164007336;4.641444738;1.709196659;2.730544816;2.348609471;2.348609471;0.99777131;1.837885999;0.542634536;1.663015601;;;;;;;;;;
47;1;4.52817;2.74555;18.1295;6.603230682;4.235169532;0.935293845;0.583973553;1.045315399;0.625971061;0.438618471;0.259652542;0.186417706;0.162387675;4.704839216;1.797919625;2.701057636;2.243450693;2.243450693;0.965100692;2.149460287;0.674466241;1.812514025;;;;;;;;;;
48;1;4.54478;2.6556;17.8996;6.740322338;4.174218109;0.918464284;0.960055945;1.013448119;0.585022567;0.433525935;0.253469007;0.179949394;0.158521865;4.707051528;1.831518646;2.734802144;2.177716197;2.177716197;0.941031249;2.095600593;0.669486395;1.759860198;;;;;;;;;;
49;1;4.56106;3.02652;21.2896;7.034349682;3.64369863;0.798871015;1.343168114;1.146994593;0.43693108;0.625200063;0.257338305;0.182325026;0.159008871;5.996826779;2.748794244;3.931856507;2.444955361;2.444955361;1.283425344;2.154055859;0.685580003;1.852500314;;;;;;;;;;
50;1;4.54063;2.6206;17.7971;6.791231016;4.103369116;0.903700393;1.440591434;1.001807917;0.555485997;0.444953233;0.251134802;0.182862145;0.151005477;4.796436422;1.938280609;2.946603273;2.156457271;2.156457271;0.928146535;2.476290909;0.806324843;2.100945075;;;;;;;;;;
51;1;4.53851;3.16462;22.0436;6.965638844;3.513180548;0.774082364;1.266394953;1.19263118;0.450658122;0.643056422;0.262451196;0.193133845;0.153293922;6.216858309;2.715438481;4.194924439;2.538570772;2.538570772;1.321722327;2.481991004;0.777724273;2.165332329;;;;;;;;;;
52;1;4.53732;3.44018;23.708;6.891499863;3.460459206;0.762665892;1.23493017;1.25467934;0.455138523;0.663191267;0.258619386;0.194408615;0.149196442;6.750697161;2.85460279;4.445087687;2.653659858;2.653659858;1.376980244;2.568254761;0.794315431;2.314317706;;;;;;;;;;
53;0;4.54609;3.51821;23.739;6.74746533;3.429066962;0.754289282;1.165790224;1.24508216;0.466951243;0.662839715;0.262962592;0.200207844;0.146735986;6.579616025;2.754785554;4.517226699;2.640057166;2.640057166;1.374480048;2.138185809;0.652462539;1.980598883;;;;;;;;;;
54;1;4.5416;3.53123;23.9229;6.774664918;3.449027587;0.759430066;0.905600889;1.240279283;0.472972073;0.655297472;0.260481852;0.204603935;0.142749912;6.736474498;2.862238617;4.590528032;2.626456556;2.626456556;1.364638013;2.200976747;0.664843431;2.060677481;;;;;;;;;;
55;1;4.545;3.40717;23.6324;6.936078916;3.531674557;0.777046107;0.919699618;1.248721414;0.48900172;0.668915732;0.27012258;0.218676285;0.145962596;6.679694365;2.91825892;4.582788664;2.650221571;2.650221571;1.38989879;2.390991157;0.748129292;2.157904733;;;;;;;;;;
56;1;4.55168;2.41699;17.306;7.16014547;4.347229908;0.955082499;1.231661106;0.990080959;0.567003309;0.460680013;0.268204599;0.223063248;0.143893683;4.772869715;1.955954189;3.20153048;2.14008467;2.14008467;0.95192764;2.455067554;0.810012891;2.181003973;;;;;;;;;;
57;1;4.51057;3.46473;23.9256;6.905473154;3.552803628;0.787661787;0.8914571;1.287771965;0.528926664;0.681389048;0.277885987;0.236074545;0.141702268;6.752024855;2.900183603;4.808596622;2.734077718;2.734077718;1.420086597;2.293460079;0.713694558;2.150091214;;;;;;;;;;
58;0;4.50514;2.04047;14.0409;6.881208741;5.939616076;1.318408768;1.009240937;0.853315236;0.715679513;0.44201956;0.27125306;0.234260072;0.140183879;3.200394833;0.420902861;3.153141171;1.877180068;1.877180068;0.960223212;2.630212828;0.870080114;2.397420307;;;;;;;;;;
59;1;4.48501;2.22464;15.1805;6.823800705;5.695300885;1.269852438;0.702506088;0.900021776;0.737754096;0.450810366;0.266191823;0.231522002;0.136384534;3.522904944;0.501156411;3.305436122;1.963193491;1.963193491;0.971007868;2.704917325;0.855272364;2.523006902;;;;;;;;;;
60;1;4.37851;2.24617;15.4144;6.862525989;5.58221864;1.274912845;0.035161517;0.959390454;0.809847957;0.464929165;0.264132404;0.237745246;0.130918966;3.771130282;0.519168458;3.551274358;2.077517653;2.077517653;0.99849949;1.961640979;0.571068975;2.015934267;;;;;;;;;;
61;0;4.39822;2.08342;15.7524;7.560837469;4.790714677;1.089239437;0.096710744;1.052011088;0.763864213;0.438401444;0.253608789;0.223433728;0.125680844;4.738361628;1.661598661;3.488212138;2.246961161;2.246961161;0.946769375;2.317325121;0.681060787;2.373083297;;;;;;;;;;
62;1;4.39806;1.84397;13.6922;7.425391953;5.97437267;1.358410906;-0.361694993;0.917908739;0.849231883;0.477250424;0.243607734;0.209909055;0.118624348;3.535504469;0.545132275;4.023207984;1.985508313;1.985508313;1.015029354;2.536684946;0.671754302;2.776662443;;;;;;;;;;
63;1;4.45725;1.84012;13.9703;7.592059214;5.466837972;1.226504677;-0.514355614;0.919098609;0.793196301;0.47348881;0.229509765;0.186828463;0.110099276;3.774683763;0.663747571;4.300562416;1.979471834;1.979471834;1.007123226;3.067644653;0.757917879;3.483314994;;;;;;;;;;
64;1;4.44391;1.80775;13.7062;7.581911216;5.337574323;1.201098655;-0.51175951;0.905977353;0.815038982;0.466836637;0.223944118;0.177049638;0.104560173;3.6798331;0.720358163;4.464765332;1.958999608;1.958999608;0.992450342;2.948465872;0.622372645;3.571136497;;;;;;;;;;
65;1;4.37985;1.73574;13.5396;7.80047703;5.128593055;1.170951758;0.015059539;0.926569717;0.878950656;0.477424341;0.215626385;0.169312094;0.104551297;3.820108819;0.827629943;4.5664124;2.001363981;2.001363981;1.011735562;2.573824926;0.558326613;2.975565548;;;;;;;;;;
66;1;4.37999;4.07804;27.203;6.670606468;3.199665428;0.730518889;-0.059949412;1.579315211;0.715491816;0.780810687;0.240342823;0.180561341;0.127069697;7.582978582;1.849642458;6.144743462;3.308931422;3.308931422;1.648437554;2.409863352;0.519722885;2.586121273;;;;;;;;;;
67;1;4.381;4.22358;28.1454;6.663872828;3.077786262;0.702530532;-0.349747455;1.618995199;0.717355179;0.809097466;0.235176787;0.169809806;0.130378452;7.816974258;1.909546303;6.205760625;3.381394179;3.381394179;1.706859165;2.722470204;0.688728224;2.89225614;;;;;;;;;;
68;0;4.38066;1.59036;13.9659;8.78159662;3.926072748;0.896228593;-2.161528392;0.92576847;0.746416314;0.377616843;0.188421825;0.129894451;0.100167098;4.672601164;1.453820389;3.769869051;1.978854133;1.978854133;0.81400063;2.780902547;0.721127153;3.111800874;;;;;;;;;;
69;1;4.39828;1.60797;13.9749;8.691020355;3.795267638;0.862898142;-2.053585626;0.90451584;0.712539474;0.359312049;0.191968577;0.128623574;0.099385442;4.49832847;1.38256719;3.615338862;1.934980471;1.934980471;0.779331921;2.713166098;0.729794428;3.134732628;;;;;;;;;;
70;1;4.39782;1.31954;11.3588;8.608151325;3.222078827;0.732653639;-1.545361278;0.608432079;0.367811702;0.291355717;0.191200795;0.127399984;0.103232738;3.294312898;0.517533613;2.822318992;1.356916471;1.356916471;0.641385959;2.732367392;0.820828555;3.090857028;;;;;;;;;;
71;1;4.41347;1.40913;12.1088;8.593103546;3.166723181;0.717513245;-1.450412015;0.669139185;0.378490427;0.296510229;0.192341112;0.127366038;0.105302177;3.668724992;0.936641855;2.815803403;1.475632929;1.475632929;0.643742905;2.701661265;0.828310041;3.018926386;;;;;;;;;;
72;1;4.39867;1.51324;12.6968;8.390473421;3.435637185;0.781062727;-1.498728369;0.722411067;0.468372442;0.300757502;0.195395898;0.130281307;0.10693596;3.78838658;0.969066198;2.812501063;1.575857162;1.575857162;0.651380986;2.506645758;0.771633522;2.802736534;;;;;;;;;;
73;1;4.43147;1.6254;13.6233;8.381506091;3.479348875;0.785145533;-1.463769651;0.804460743;0.510623056;0.344967697;0.198639316;0.133770698;0.107254252;4.159364057;1.397928014;3.216354509;1.7348299;1.7348299;0.71299817;2.416512588;0.742574496;2.752515285;;;;;;;;;;
