index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz;aspect_ratio_yz;aspect_ratio_xy;aspect_ratio_circ
3967;1;2.89759;1.05468;8.55584;8.11226153904502;2.58794818943203;0.893138155995854;-1.34545877799204;0.371995692972436;0.289270393671983;1.28597914307905;1.02967638623822
3968;0;2.91174;1.04595;8.88082;8.49067355036092;2.36332597200707;0.811654190280406;0.761805122693176;0.387122476594751;0.286306469671056;1.35212619204702;1.06323023346865
3969;1;2.94191;1.17435;9.72135;8.27806871886576;2.56652458232855;0.872400781236865;1.65407591664714;0.378889904857728;0.2838200352832;1.33496532223198;1.14862453304146
3970;1;2.9169;0.863274;7.74106;8.96709503587505;2.5284615934703;0.866831771219547;0.0264852853846142;0.340410710000343;0.272834858925572;1.24768041496195;0.966680379855326
3971;0;2.92011;0.880513;7.5795;8.60805007989661;2.51244912212816;0.860395369396413;-0.680067175314166;0.391341422069717;0.276808065449589;1.41376452103772;1.04034094606025
3972;1;2.9329;1.0242;8.31898;8.1224174965827;2.44968313163689;0.835242637538575;0.194872788686919;0.456995806198643;0.264889358655256;1.72523278593991;1.13027379044632
3973;1;2.93516;1.0759;8.52483;7.92344084022679;2.02172634259753;0.688795957493811;-0.335423817654211;0.433993376851688;0.278388230965263;1.55895015872938;1.117959497949
3974;1;2.88781;1.17626;8.56627;7.28263309132335;1.94472616943172;0.673425941953148;3.1897940880184;0.404952195608437;0.253171088125604;1.59951990808497;1.04691444381729
3975;1;2.90442;1.54235;10.2895;6.6713132557461;2.34083427850533;0.805955846091589;3.40595143056741;0.393454803368659;0.272503632394764;1.44385159166861;1.20253613458109
3976;0;2.91009;1.48612;9.90865;6.66746292358625;2.39291775742269;0.822283076270045;1.67611682953192;0.377225790267655;0.273359930448887;1.37996007552464;1.19887701067665
3977;1;2.94106;1.52593;10.2798;6.7367441494695;2.31571615215592;0.787374671770014;2.75312492418352;0.439512624699938;0.273116835426683;1.60924764675638;1.19272303183206
3978;1;2.93502;1.55918;10.0739;6.46102438461242;2.31078475193501;0.787314823045502;4.22261731090971;0.458069791687961;0.262688158854113;1.74377784551132;1.15595464426137
3979;0;2.99264;1.32291;8.63256;6.52543256910901;1.91393972156022;0.639548933904587;2.78456310201133;0.428961051112062;0.259420444824636;1.65353602489592;1.08283655902481
3980;1;3.05075;1.2189;8.63354;7.08305849536467;2.0769930383835;0.680813910803409;2.23889072979309;0.399494222732115;0.25213275424076;1.58445983718022;1.03568958452839
3981;1;3.01609;1.17602;8.45488;7.18940154079012;2.21690498021401;0.735026136558924;2.07954019693442;0.404522411466501;0.260497531572334;1.55288385661411;1.03914007871118
