time;OCT-depth
-0.09373799999999988;6125.0
-0.09372399999999992;6125.0
-0.09370900000000004;6125.0
-0.09369499999999986;6125.0
-0.0936809999999999;6125.0
-0.09366600000000003;6125.0
-0.09365200000000007;6125.0
-0.09363799999999989;6125.0
-0.09362300000000001;6125.0
-0.09360900000000005;6125.0
-0.09359499999999987;6125.0
-0.09358099999999991;6125.0
-0.09356600000000004;6125.0
-0.09355200000000008;6125.0
-0.0935379999999999;6125.0
-0.09352300000000002;6125.0
-0.09350900000000006;6125.0
-0.09349499999999988;6125.0
-0.09348000000000001;6125.0
-0.09346600000000005;6125.0
-0.09345199999999987;6125.0
-0.09343699999999999;6125.0
-0.09342399999999995;6125.0
-0.09340999999999999;6125.0
-0.09339600000000003;6125.0
-0.09338099999999994;6125.0
-0.09336699999999998;6125.0
-0.09335300000000002;6125.0
-0.09333799999999992;6125.0
-0.09332399999999996;6125.0
-0.09331;6125.0
-0.0932949999999999;6125.0
-0.09328099999999995;6125.0
-0.09326699999999999;6125.0
-0.09325199999999989;6125.0
-0.09323799999999993;6125.0
-0.09322399999999997;6125.0
-0.09321000000000002;6125.0
-0.09319499999999992;6125.0
-0.09318099999999996;6125.0
-0.093167;6125.0
-0.0931519999999999;6125.0
-0.09313799999999994;6125.0
-0.09312399999999998;6125.0
-0.09310899999999989;6125.0
-0.09309499999999993;6125.0
-0.09308099999999997;6125.0
-0.09306700000000001;6125.0
-0.09305199999999991;6125.0
-0.09303799999999995;6125.0
-0.093024;6125.0
-0.0930089999999999;6125.0
-0.09299499999999994;6125.0
-0.09298099999999998;6125.0
-0.09296599999999988;6125.0
-0.09295199999999992;6125.0
-0.09293799999999997;6125.0
-0.09292299999999987;6125.0
-0.09290899999999991;6125.0
-0.09289499999999995;6125.0
-0.09288099999999999;6125.0
-0.0928659999999999;6125.0
-0.09285199999999993;6125.0
-0.09283799999999998;6125.0
-0.09282299999999988;6125.0
-0.09280899999999992;6125.0
-0.09279499999999996;6125.0
-0.09277999999999986;6125.0
-0.0927659999999999;6125.0
-0.09275299999999986;6125.0
-0.09273799999999999;6125.0
-0.09272400000000003;6125.0
-0.09271000000000007;6125.0
-0.09269599999999989;6125.0
-0.09268100000000001;6125.0
-0.09266700000000005;6125.0
-0.09265299999999987;6125.0
-0.092638;6125.0
-0.09262400000000004;6125.0
-0.09261000000000008;6125.0
-0.09259499999999998;6125.0
-0.09258100000000002;6125.0
-0.09256700000000007;6125.0
-0.09255199999999997;6125.0
-0.09253800000000001;6125.0
-0.09252400000000005;6125.0
-0.09250999999999987;6125.0
-0.092495;6125.0
-0.09248100000000004;6125.0
-0.09246700000000008;6125.0
-0.09245199999999998;6125.0
-0.09243800000000002;6125.0
-0.09242400000000006;6125.0
-0.09240899999999996;6125.0
-0.092395;6125.0
-0.09238100000000005;6125.0
-0.09236699999999987;6125.0
-0.09235199999999999;6125.0
-0.09233800000000003;6125.0
-0.09232400000000007;6125.0
-0.09230899999999997;6125.0
-0.09229500000000002;6125.0
-0.09228100000000006;6125.0
-0.09226599999999996;6125.0
-0.092252;6125.0
-0.09223800000000004;6125.0
-0.09222299999999994;6125.0
-0.09220899999999999;6125.0
-0.09219500000000003;6125.0
-0.09218100000000007;6125.0
-0.09216599999999997;6125.0
-0.09215200000000001;6125.0
-0.09213800000000005;6125.0
-0.09212299999999995;6125.0
-0.092109;6125.0
-0.09209500000000004;6125.0
-0.09208100000000008;6125.0
-0.0920669999999999;6125.0
-0.09205299999999994;6125.0
-0.09203800000000006;6125.0
-0.09202399999999988;6125.0
-0.09200999999999993;6125.0
-0.09199599999999997;6125.0
-0.09198099999999987;6125.0
-0.09196699999999991;6125.0
-0.09195299999999995;6125.0
-0.09193800000000008;6125.0
-0.0919239999999999;6125.0
-0.09190999999999994;6125.0
-0.09189500000000006;6125.0
-0.09188099999999988;6125.0
-0.09186699999999992;6125.0
-0.09185200000000004;6125.0
-0.09183799999999986;6125.0
-0.0918239999999999;6125.0
-0.09180999999999995;6125.0
-0.09179500000000007;6125.0
-0.09178099999999989;6125.0
-0.09176699999999993;6125.0
-0.09175200000000006;6125.0
-0.09173799999999988;6125.0
-0.09172399999999992;6125.0
-0.09170900000000004;6125.0
-0.09169500000000008;6125.0
-0.0916809999999999;6125.0
-0.09166699999999994;6125.0
-0.09165200000000007;6125.0
-0.09163799999999989;6125.0
-0.09162399999999993;6125.0
-0.09160900000000005;6125.0
-0.09159499999999987;6125.0
-0.09158099999999991;6125.0
-0.09156600000000004;6125.0
-0.09155200000000008;6125.0
-0.0915379999999999;6125.0
-0.09152300000000002;6125.0
-0.09150900000000006;6125.0
-0.09149499999999988;6125.0
-0.09148099999999992;6125.0
-0.09146600000000005;6125.0
-0.09145199999999987;6125.0
-0.09143799999999991;6125.0
-0.09142300000000003;6125.0
-0.09140900000000007;6125.0
-0.09139600000000003;6125.0
-0.09138099999999993;6125.0
-0.09136699999999998;6125.0
-0.09135300000000002;6125.0
-0.09133799999999992;6125.0
-0.09132399999999996;6125.0
-0.09131;6125.0
-0.09129600000000004;6125.0
-0.09128099999999995;6125.0
-0.09126699999999999;6125.0
-0.09125300000000003;6125.0
-0.09123799999999993;6125.0
-0.09122399999999997;6125.0
-0.09121000000000001;6125.0
-0.09119499999999992;6125.0
-0.09118099999999996;6125.0
-0.091167;6125.0
-0.0911519999999999;6125.0
-0.09113799999999994;6125.0
-0.09112399999999998;6125.0
-0.09111000000000002;6125.0
-0.09109499999999993;6125.0
-0.09108099999999997;6125.0
-0.09106700000000001;6125.0
-0.09105199999999991;6125.0
-0.09103799999999995;6125.0
-0.091024;6125.0
-0.0910089999999999;6125.0
-0.09099499999999994;6125.0
-0.09098099999999998;6125.0
-0.09096700000000002;6125.0
-0.09095199999999992;6125.0
-0.09093799999999996;6125.0
-0.090924;6125.0
-0.0909089999999999;6125.0
-0.09089499999999995;6125.0
-0.09088099999999999;6125.0
-0.09086599999999989;6125.0
-0.09085199999999993;6125.0
-0.09083799999999997;6125.0
-0.09082299999999988;6125.0
-0.09080899999999992;6125.0
-0.09079499999999996;6125.0
-0.090781;6125.0
-0.0907659999999999;6125.0
-0.09075199999999994;6125.0
-0.09073799999999999;6125.0
-0.09072299999999989;6125.0
-0.09071000000000007;6125.0
-0.09069599999999989;6125.0
-0.09068100000000001;6125.0
-0.09066700000000005;6125.0
-0.09065299999999987;6125.0
-0.090638;6125.0
-0.09062400000000004;6125.0
-0.09061000000000008;6125.0
-0.0905959999999999;6125.0
-0.09058100000000002;6125.0
-0.09056700000000006;6125.0
-0.09055299999999988;6125.0
-0.09053800000000001;6125.0
-0.09052400000000005;6125.0
-0.09050999999999987;6125.0
-0.09049499999999999;6125.0
-0.09048100000000003;6125.0
-0.09046700000000008;6125.0
-0.09045199999999998;6125.0
-0.09043800000000002;6125.0
-0.09042400000000006;6125.0
-0.09040999999999988;6125.0
-0.090395;6125.0
-0.09038100000000004;6125.0
-0.09036699999999986;6125.0
-0.09035199999999999;6125.0
-0.09033800000000003;6125.0
-0.09032400000000007;6125.0
-0.09030899999999997;6125.0
-0.09029500000000001;6125.0
